timesteps,model.is_valid[N/A],model.energy_usage[Sm3/cd],model.energy_usage_cumulative[Sm3 (cd)],model.power[MW (sd)],model.power_cumulative[GWh (cd)],model.co2_fuel_gas.rate[t/cd],model.co2_fuel_gas.cumulative[t (cd)],model.hydrocarbon_export_rate[Sm3/cd],model.co2_fuel_gas.intensity_sm3[kg/Sm3],model.co2_fuel_gas.intensity_boe[kg/BOE],model.co2_fuel_gas.intensity_yearly_sm3[kg/Sm3],model.co2_fuel_gas.intensity_yearly_boe[kg/BOE],model.power_electrical[MW (sd)],model.power_electrical_cumulative[GWh (cd)],model.power_mechanical[MW (sd)],model.power_mechanical_cumulative[GWh (cd)],drogon_installation.is_valid[N/A],drogon_installation.energy_usage[Sm3/cd],drogon_installation.energy_usage_cumulative[Sm3 (cd)],drogon_installation.power[MW (sd)],drogon_installation.power_cumulative[GWh (cd)],drogon_installation.co2_fuel_gas.rate[t/cd],drogon_installation.co2_fuel_gas.cumulative[t (cd)],drogon_installation.hydrocarbon_export_rate[Sm3/cd],drogon_installation.co2_fuel_gas.intensity_sm3[kg/Sm3],drogon_installation.co2_fuel_gas.intensity_boe[kg/BOE],drogon_installation.co2_fuel_gas.intensity_yearly_sm3[kg/Sm3],drogon_installation.co2_fuel_gas.intensity_yearly_boe[kg/BOE],drogon_installation.power_electrical[MW (sd)],drogon_installation.power_electrical_cumulative[GWh (cd)],drogon_installation.power_mechanical[MW (sd)],drogon_installation.power_mechanical_cumulative[GWh (cd)],drogon_installation.regularity[N/A],main_power.is_valid[N/A],main_power.energy_usage[Sm3/cd],main_power.energy_usage_cumulative[Sm3 (cd)],main_power.power[MW (sd)],main_power.power_cumulative[GWh (cd)],main_power.co2_fuel_gas.rate[t/cd],main_power.co2_fuel_gas.cumulative[t (cd)],main_power.power_capacity_margin[MW (sd)],gas export compressor train.is_valid[N/A],gas export compressor train.energy_usage[MW (sd)],gas export compressor train.energy_usage_cumulative[MWd (cd)],gas export compressor train.power[MW (sd)],gas export compressor train.power_cumulative[GWh (cd)],gas export compressor train.operational_settings_used[N/A],wi_lp.is_valid[N/A],wi_lp.energy_usage[MW (sd)],wi_lp.energy_usage_cumulative[MWd (cd)],wi_lp.power[MW (sd)],wi_lp.power_cumulative[GWh (cd)],wi_lp.operational_settings_used[N/A],baseload.is_valid[N/A],baseload.energy_usage[MW (sd)],baseload.energy_usage_cumulative[MWd (cd)],baseload.power[MW (sd)],baseload.power_cumulative[GWh (cd)],boosterpump.is_valid[N/A],boosterpump.energy_usage[MW (sd)],boosterpump.energy_usage_cumulative[MWd (cd)],boosterpump.power[MW (sd)],boosterpump.power_cumulative[GWh (cd)],re-compressors.is_valid[N/A],re-compressors.energy_usage[MW (sd)],re-compressors.energy_usage_cumulative[MWd (cd)],re-compressors.power[MW (sd)],re-compressors.power_cumulative[GWh (cd)]
2020-01-01 00:00:00,1,        121994.00000,             0.00000,            18.09389,             0.00000,           294.73750,             0.00000,          2631.24700,nan,nan,112.0144,17.80833,            18.09389,             0.00000,             0.00000,             0.00000,1,        121994.00000,             0.00000,            18.09389,             0.00000,           294.73750,             0.00000,          2631.24700,nan,nan,112.0144,17.80833,            18.09389,             0.00000,             0.00000,             0.00000,             1.00000,1,        121994.00000,             0.00000,            18.09389,             0.00000,           294.73750,             0.00000,            24.74611,1,             1.66036,             0.00000,             1.66036,             0.00000,1,1,             3.43353,             0.00000,             3.43353,             0.00000,1,1,             9.00000,             0.00000,             9.00000,             0.00000,1,             2.00000,             0.00000,             2.00000,             0.00000,1,             2.00000,             0.00000,             2.00000,             0.00000
2021-01-01 00:00:00,1,        129246.20000,      44649804.00000,            19.12386,           158.93670,           312.25880,        107873.90000,          4233.46400,112.0144,17.80833,73.75965,11.72649,            19.12386,           158.93670,             0.00000,             0.00000,1,        129246.20000,      44649804.00000,            19.12386,           158.93670,           312.25880,        107873.90000,          4233.46400,112.0144,17.80833,73.75965,11.72649,            19.12386,           158.93670,             0.00000,             0.00000,             1.00000,1,        129246.20000,      44649804.00000,            19.12386,           158.93670,           312.25880,        107873.90000,            23.71614,1,             2.69033,           607.69070,             2.69033,            14.58458,1,1,             3.43353,          1256.67300,             3.43353,            30.16016,1,1,             9.00000,          3294.00000,             9.00000,            79.05600,1,             2.00000,           732.00000,             2.00000,            17.56800,1,             2.00000,           732.00000,             2.00000,            17.56800
2022-01-01 00:00:00,1,        125132.10000,      91824667.00000,            18.53089,           326.46170,           302.31920,        221848.40000,          3253.59600,88.44746,14.0616,92.91847,14.77241,            18.53089,           326.46170,             0.00000,             0.00000,1,        125132.10000,      91824667.00000,            18.53089,           326.46170,           302.31920,        221848.40000,          3253.59600,88.44746,14.0616,92.91847,14.77241,            18.53089,           326.46170,             0.00000,             0.00000,             1.00000,1,        125132.10000,      91824667.00000,            18.53089,           326.46170,           302.31920,        221848.40000,            24.30911,1,             2.09735,          1589.66100,             2.09735,            38.15187,1,1,             3.43353,          2509.91300,             3.43353,            60.23792,1,1,             9.00000,          6579.00000,             9.00000,           157.89600,1,             2.00000,          1462.00000,             2.00000,            35.08800,1,             2.00000,          1462.00000,             2.00000,            35.08800
2023-01-01 00:00:00,1,        122445.80000,     137497884.00000,            18.15681,           488.79230,           295.82910,        332194.90000,          2620.85500,89.88411,14.29,112.875,17.94515,            18.15681,           488.79230,             0.00000,             0.00000,1,        122445.80000,     137497884.00000,            18.15681,           488.79230,           295.82910,        332194.90000,          2620.85500,89.88411,14.29,112.875,17.94515,            18.15681,           488.79230,             0.00000,             0.00000,             1.00000,1,        122445.80000,     137497884.00000,            18.15681,           488.79230,           295.82910,        332194.90000,            24.68319,1,             1.71476,          2355.19500,             1.71476,            56.52468,1,1,             3.44205,          3763.15300,             3.44205,            90.31568,1,1,             9.00000,          9864.00000,             9.00000,           236.73600,1,             2.00000,          2192.00000,             2.00000,            52.60800,1,             2.00000,          2192.00000,             2.00000,            52.60800
2024-01-01 00:00:00,1,        121044.90000,     182190600.00000,            17.96171,           647.84600,           292.44450,        440172.50000,          2195.92200,94.61141,15.04156,133.1762,21.17268,            17.96171,           647.84600,             0.00000,             0.00000,1,        121044.90000,     182190600.00000,            17.96171,           647.84600,           292.44450,        440172.50000,          2195.92200,94.61141,15.04156,133.1762,21.17268,            17.96171,           647.84600,             0.00000,             0.00000,             1.00000,1,        121044.90000,     182190600.00000,            17.96171,           647.84600,           292.44450,        440172.50000,            24.87829,1,             1.46272,          2981.08200,             1.46272,            71.54597,1,1,             3.49899,          5019.50000,             3.49899,           120.46800,1,1,             9.00000,         13149.00000,             9.00000,           315.57600,1,             2.00000,          2922.00000,             2.00000,            70.12800,1,             2.00000,          2922.00000,             2.00000,            70.12800
2025-01-01 00:00:00,1,        120766.10000,     226493034.00000,            17.92289,           805.62170,           291.77090,        547207.20000,          1889.05900,100.2921,15.94469,154.453,24.55533,            17.92289,           805.62170,             0.00000,             0.00000,1,        120766.10000,     226493034.00000,            17.92289,           805.62170,           291.77090,        547207.20000,          1889.05900,100.2921,15.94469,154.453,24.55533,            17.92289,           805.62170,             0.00000,             0.00000,             1.00000,1,        120766.10000,     226493034.00000,            17.92289,           805.62170,           291.77090,        547207.20000,            24.91711,1,             1.38464,          3516.43800,             1.38464,            84.39450,1,1,             3.53825,          6300.13200,             3.53825,           151.20320,1,1,             9.00000,         16443.00000,             9.00000,           394.63200,1,             2.00000,          3654.00000,             2.00000,            87.69600,1,             2.00000,          3654.00000,             2.00000,            87.69600
2026-01-01 00:00:00,1,        120975.50000,     270572660.00000,            17.95205,           962.62620,           292.27680,        653703.60000,          1650.55700,106.3687,16.91076,177.0777,28.15225,            17.95205,           962.62620,             0.00000,             0.00000,1,        120975.50000,     270572660.00000,            17.95205,           962.62620,           292.27680,        653703.60000,          1650.55700,106.3687,16.91076,177.0777,28.15225,            17.95205,           962.62620,             0.00000,             0.00000,             1.00000,1,        120975.50000,     270572660.00000,            17.95205,           962.62620,           292.27680,        653703.60000,            24.88795,1,             1.38464,          4021.83300,             1.38464,            96.52399,1,1,             3.56740,          7591.59200,             3.56740,           182.19820,1,1,             9.00000,         19728.00000,             9.00000,           473.47200,1,             2.00000,          4384.00000,             2.00000,           105.21600,1,             2.00000,          4384.00000,             2.00000,           105.21600
2027-01-01 00:00:00,1,        121152.10000,     314728718.00000,            17.97665,          1119.88600,           292.70350,        760384.60000,          1448.23400,112.6814,17.91437,202.1106,32.13206,            17.97665,          1119.88600,             0.00000,             0.00000,1,        121152.10000,     314728718.00000,            17.97665,          1119.88600,           292.70350,        760384.60000,          1448.23400,112.6814,17.91437,202.1106,32.13206,            17.97665,          1119.88600,             0.00000,             0.00000,             1.00000,1,        121152.10000,     314728718.00000,            17.97665,          1119.88600,           292.70350,        760384.60000,            24.86335,1,             1.38464,          4527.22800,             1.38464,           108.65350,1,1,             3.59200,          8893.69400,             3.59200,           213.44870,1,1,             9.00000,         23013.00000,             9.00000,           552.31200,1,             2.00000,          5114.00000,             2.00000,           122.73600,1,             2.00000,          5114.00000,             2.00000,           122.73600
2028-01-01 00:00:00,1,        121293.90000,     358949234.00000,            17.99640,          1277.36200,           293.04610,        867221.40000,          1277.16400,119.1779,18.9472,229.4506,36.47864,            17.99640,          1277.36200,             0.00000,             0.00000,1,        121293.90000,     358949234.00000,            17.99640,          1277.36200,           293.04610,        867221.40000,          1277.16400,119.1779,18.9472,229.4506,36.47864,            17.99640,          1277.36200,             0.00000,             0.00000,             1.00000,1,        121293.90000,     358949234.00000,            17.99640,          1277.36200,           293.04610,        867221.40000,            24.84360,1,             1.38464,          5032.62400,             1.38464,           120.78300,1,1,             3.61175,         10204.78000,             3.61175,           244.91460,1,1,             9.00000,         26298.00000,             9.00000,           631.15200,1,             2.00000,          5844.00000,             2.00000,           140.25600,1,             2.00000,          5844.00000,             2.00000,           140.25600
2029-01-01 00:00:00,1,        121405.90000,     403342802.00000,            18.01199,          1435.44200,           293.31670,        974476.30000,          1137.09900,125.834,20.00541,257.9518,41.00982,            18.01199,          1435.44200,             0.00000,             0.00000,1,        121405.90000,     403342802.00000,            18.01199,          1435.44200,           293.31670,        974476.30000,          1137.09900,125.834,20.00541,257.9518,41.00982,            18.01199,          1435.44200,             0.00000,             0.00000,             1.00000,1,        121405.90000,     403342802.00000,            18.01199,          1435.44200,           293.31670,        974476.30000,            24.82801,1,             1.38464,          5539.40400,             1.38464,           132.94570,1,1,             3.62735,         11526.68000,             3.62735,           276.64030,1,1,             9.00000,         29592.00000,             9.00000,           710.20800,1,             2.00000,          6576.00000,             2.00000,           157.82400,1,             2.00000,          6576.00000,             2.00000,           157.82400
2030-01-01 00:00:00,1,        121497.80000,     447655955.00000,            18.02479,          1593.22700,           293.53870,       1081537.00000,          1020.36500,132.5546,21.07386,287.6802,45.73612,            18.02479,          1593.22700,             0.00000,             0.00000,1,        121497.80000,     447655955.00000,            18.02479,          1593.22700,           293.53870,       1081537.00000,          1020.36500,132.5546,21.07386,287.6802,45.73612,            18.02479,          1593.22700,             0.00000,             0.00000,             1.00000,1,        121497.80000,     447655955.00000,            18.02479,          1593.22700,           293.53870,       1081537.00000,            24.81521,1,             1.38464,          6044.79900,             1.38464,           145.07520,1,1,             3.64014,         12850.66000,             3.64014,           308.41580,1,1,             9.00000,         32877.00000,             9.00000,           789.04800,1,             2.00000,          7306.00000,             2.00000,           175.34400,1,             2.00000,          7306.00000,             2.00000,           175.34400
2031-01-01 00:00:00,1,        121574.10000,     492002652.00000,            18.03541,          1751.12400,           293.72300,       1188678.00000,           921.03300,139.3263,22.15045,318.9061,50.70049,            18.03541,          1751.12400,             0.00000,             0.00000,1,        121574.10000,     492002652.00000,            18.03541,          1751.12400,           293.72300,       1188678.00000,           921.03300,139.3263,22.15045,318.9061,50.70049,            18.03541,          1751.12400,             0.00000,             0.00000,             1.00000,1,        121574.10000,     492002652.00000,            18.03541,          1751.12400,           293.72300,       1188678.00000,            24.80459,1,             1.38464,          6550.19500,             1.38464,           157.20470,1,1,             3.65077,         14179.31000,             3.65077,           340.30350,1,1,             9.00000,         36162.00000,             9.00000,           867.88800,1,             2.00000,          8036.00000,             2.00000,           192.86400,1,             2.00000,          8036.00000,             2.00000,           192.86400
2032-01-01 00:00:00,1,        121638.30000,     536377199.00000,            18.04435,          1909.11400,           293.87810,       1295887.00000,           837.81380,146.1342,23.23278,350.7678,55.76595,            18.04435,          1909.11400,             0.00000,             0.00000,1,        121638.30000,     536377199.00000,            18.04435,          1909.11400,           293.87810,       1295887.00000,           837.81380,146.1342,23.23278,350.7678,55.76595,            18.04435,          1909.11400,             0.00000,             0.00000,             1.00000,1,        121638.30000,     536377199.00000,            18.04435,          1909.11400,           293.87810,       1295887.00000,            24.79565,1,             1.38464,          7055.59000,             1.38464,           169.33420,1,1,             3.65970,         15511.84000,             3.65970,           372.28420,1,1,             9.00000,         39447.00000,             9.00000,           946.72800,1,             2.00000,          8766.00000,             2.00000,           210.38400,1,             2.00000,          8766.00000,             2.00000,           210.38400
2033-01-01 00:00:00,1,        121692.90000,     580896817.00000,            18.05196,          2067.61600,           294.01000,       1403447.00000,           766.78480,152.9737,24.32014,383.4322,60.95902,            18.05196,          2067.61600,             0.00000,             0.00000,1,        121692.90000,     580896817.00000,            18.05196,          2067.61600,           294.01000,       1403447.00000,           766.78480,152.9737,24.32014,383.4322,60.95902,            18.05196,          2067.61600,             0.00000,             0.00000,             1.00000,1,        121692.90000,     580896817.00000,            18.05196,          2067.61600,           294.01000,       1403447.00000,            24.78804,1,             1.38464,          7562.37000,             1.38464,           181.49690,1,1,             3.66731,         16851.29000,             3.66731,           404.43100,1,1,             9.00000,         42741.00000,             9.00000,          1025.78400,1,             2.00000,          9498.00000,             2.00000,           227.95200,1,             2.00000,          9498.00000,             2.00000,           227.95200
2034-01-01 00:00:00,1,        121738.90000,     625314725.00000,            18.05837,          2225.75100,           294.12120,       1510760.00000,           705.16340,159.796,25.40477,417.0965,66.31105,            18.05837,          2225.75100,             0.00000,             0.00000,1,        121738.90000,     625314725.00000,            18.05837,          2225.75100,           294.12120,       1510760.00000,           705.16340,159.796,25.40477,417.0965,66.31105,            18.05837,          2225.75100,             0.00000,             0.00000,             1.00000,1,        121738.90000,     625314725.00000,            18.05837,          2225.75100,           294.12120,       1510760.00000,            24.78163,1,             1.38464,          8067.76600,             1.38464,           193.62640,1,1,             3.67372,         18189.86000,             3.67372,           436.55670,1,1,             9.00000,         46026.00000,             9.00000,          1104.62400,1,             2.00000,         10228.00000,             2.00000,           245.47200,1,             2.00000,         10228.00000,             2.00000,           245.47200
2035-01-01 00:00:00,1,        121777.80000,     669749424.00000,            18.06379,          2383.94200,           294.21520,       1618115.00000,           651.71090,166.6151,26.48889,nan,nan,            18.06379,          2383.94200,             0.00000,             0.00000,1,        121777.80000,     669749424.00000,            18.06379,          2383.94200,           294.21520,       1618115.00000,           651.71090,166.6151,26.48889,nan,nan,            18.06379,          2383.94200,             0.00000,             0.00000,             1.00000,1,        121777.80000,     669749424.00000,            18.06379,          2383.94200,           294.21520,       1618115.00000,            24.77621,1,             1.38464,          8573.16100,             1.38464,           205.75590,1,1,             3.67914,         19530.77000,             3.67914,           468.73850,1,1,             9.00000,         49311.00000,             9.00000,          1183.46400,1,             2.00000,         10958.00000,             2.00000,           262.99200,1,             2.00000,         10958.00000,             2.00000,           262.99200
