DATE,           OIL_PROD,  WATER_PROD,   GAS_PROD,  WATER_INJ,  GAS_LIFT
01.01.2020,     1000,      20000,        4000000,   30000,      1200000
01.01.2021,     1000,      20000,        4000000,   30000,      1200000
01.01.2022,     1000,      20000,        4000000,   30000,      1200000
01.01.2023,     2500,      21000,        4000000,   30000,      1200000
01.01.2024,     3000,      22000,        4500000,   28000,      1300000
01.01.2025,     3500,      23000,        5000000,   26000,      1350000
01.01.2026,     4000,      24000,        5500000,   25000,      1400000
01.01.2027,     4000,      25000,        6000000,   24000,      1400000
01.01.2028,     4000,      20000,        6000000,   23000,      1400000
01.01.2029,     5000,      20000,        5500000,   22000,      1350000
01.01.2030,     9000,      20000,        5000000,   21000,      1300000
01.01.2031,     5000,      20000,        3000000,   22000,      1300000
01.01.2032,     4000,      22100,        3000000,   23000,      2000000
01.01.2033,     1300,      22000,        2000000,   22000,      2000000
01.01.2034,     1200,      25000,        1000000,   21000,      2000000
01.01.2035,     1100,      25000,        1000000,   20000,      1500000
01.01.2036,     1000,      22000,        500000,    18000,      1400000
01.01.2037,     900,       20000,        500000,    17000,      1400000
01.01.2038,     800,       18000,        500000,    17000,      1400000
01.01.2039,     700,       18000,        200000,    17000,      1400000
01.01.2040,     600,       10000,        200000,    15000,      1400000
01.01.2041,     0,         0,            0,         0,          0