Dates,                  OIL_PROD,    GAS_SALES,     WATER_PROD,   WATER_INJ,   GAS_INJ,      GAS_LIFT
#,                      Sm3/d,       Sm3/d,         m3/d,         m3/d,        Sm3/d,        Sm3/d
2020-01-01 00:00:00,    9000,        3500000,       17000,        34000,       220000000,    13000000
2021-01-01 00:00:00,    8000,        3600000,       17200,        33000,       220000000,    17000000
2022-01-01 00:00:00,    7000,        3700000,       15000,        30000,       220000000,    21000000
2023-01-01 00:00:00,    6000,        3800000,       16000,        33000,       230000000,    24000000
2024-01-01 00:00:00,    6000,        3900000,       14000,        35000,       230000000,    28000000
2024-12-01 00:00:00,    6000,        4000000,       15000,        36000,       240000000,    31000000
2026-01-01 00:00:00,    7000,        4100000,       17000,        36000,       240000000,    35000000
2027-01-01 00:00:00,    6000,        4500000,       15000,        38000,       240000000,    39000000
2028-01-01 00:00:00,    6000,        3500000,       12000,        33000,       240000000,    43000000
2029-01-01 00:00:00,    5000,        2500000,       14000,        36000,       240000000,    46000000
2030-01-01 00:00:00,    6000,        2000000,       16000,        35000,       240000000,    50000000
2031-01-01 00:00:00,    4000,        3000000,       14000,        33000,       240000000,    53000000